User's manual r01uh0896ej0130-rl78g23; Version 1.00; February 20, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
PDIDIS12,4.3.6 Port digital input disable registers (PDIDISxx),Figure4-6FormatofPortDigitalInputDisableRegisters(PDIDISxx),,,
PDIDIS13,4.3.6 Port digital input disable registers (PDIDISxx),Figure4-6FormatofPortDigitalInputDisableRegisters(PDIDISxx),,,
PDIDIS14,4.3.6 Port digital input disable registers (PDIDISxx),Figure4-6FormatofPortDigitalInputDisableRegisters(PDIDISxx),,,
FLPMC,33.6.2.6 Flash programming mode control register (FLPMC),Figure33-14FormatofFlashProgrammingModeControlRegister(FLPMC),,,
FLARS,33.6.2.7 Flash area selection register (FLARS),Figure33-15FormatofFlashAreaSelectionRegister(FLARS),,,
FLAPL,"33.6.2.1 FlashaddresspointerregistersHandL(FLAPH,FLAPL)","Figure33-9FormatofFlashAddressPointerRegistersHandL(FLAPH,FLAPL)",,,
FLAPH,"33.6.2.1 FlashaddresspointerregistersHandL(FLAPH,FLAPL)","Figure33-9FormatofFlashAddressPointerRegistersHandL(FLAPH,FLAPL)",,,
FSSQ,33.6.2.9 Flash memory sequencer control register (FSSQ),Figure33-17FormatofFlashMemorySequencerControlRegister(FSSQ),,,
FSSTP,33.6.2.9 Flash memory sequencer control register (FSSQ),Figure33-17FormatofFlashMemorySequencerControlRegister(FSSQ),2,,
SQST,33.6.2.9 Flash memory sequencer control register (FSSQ),Figure33-17FormatofFlashMemorySequencerControlRegister(FSSQ),2,,
FLSEDL,"33.6.2.2 FlashendaddresspointerregistersHandL(FLSEDH,FLSEDL)","Figure33-10FormatofFlashEndAddressPointerRegistersHandL(FLSEDH,FLSEDL)",,,
FLSEDH,"33.6.2.2 FlashendaddresspointerregistersHandL(FLSEDH,FLSEDL)","Figure33-10FormatofFlashEndAddressPointerRegistersHandL(FLSEDH,FLSEDL)",,,
FLRST,33.6.2.11 Flash registers initialization register (FLRST),Figure33-19FormatofFlashRegistersInitializationRegister(FLRST),,,
FSASTL,"33.6.2.12 Flash memory sequencer status registers H and L (FSASTH, FSASTL)","Figure33-20FormatofFlashMemorySequencerStatusRegistersHandL(FSASTH,FSASTL)(1/2)",,,
FSASTH,"33.6.2.12 Flash memory sequencer status registers H and L (FSASTH, FSASTL)","Figure33-20FormatofFlashMemorySequencerStatusRegistersHandL(FSASTH,FSASTL)(1/2)",,,
FLWL,"33.6.2.3 FlashwritebufferregistersHandL(FLWH,FLWL)","Figure33-11FormatofFlashWriteBufferRegistersHandL(FLWH,FLWL)",,,
FLWH,"33.6.2.3 FlashwritebufferregistersHandL(FLWH,FLWL)","Figure33-11FormatofFlashWriteBufferRegistersHandL(FLWH,FLWL)",,,
DTCBAR,19.3.12 DTC base address register (DTCBAR),Figure19-13FormatoftheDTCBaseAddressRegister(DTCBAR),,,
DTCEN0,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCActivationEnableRegisteri(DTCENi)(i=0to4)(1/2),,,
DTCEN1,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCActivationEnableRegisteri(DTCENi)(i=0to4)(1/2),,,
DTCEN2,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCActivationEnableRegisteri(DTCENi)(i=0to4)(1/2),,,
DTCEN3,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCActivationEnableRegisteri(DTCENi)(i=0to4)(1/2),,,
DTCEN4,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCActivationEnableRegisteri(DTCENi)(i=0to4)(1/2),,,
CRC0CTL,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-1FormatofFlashMemoryCRCControlRegister(CRC0CTL)(1/2),,,
CRC0EN,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-1FormatofFlashMemoryCRCControlRegister(CRC0CTL)(1/2),2,,
PGCRCL,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-2FormatofFlashMemoryCRCOperationResultRegister(PGCRCL),,,
CRCD,27.3.2 CRC operation (general-purpose CRC),Figure27-5FormatofCRCDataRegister(CRCD),,,
TXBA0,"17.2.2 Transmit buffer register (TXBAn) (n = 0, 1)",Figure17-3FormatofTransmitBufferRegister(TXBAn),,,
RXBA0,"17.2.3 Receive buffer register (RXBAn) (n = 0, 1)",Figure17-4FormatofReceiveBufferRegister(RXBAn),,,
ASIMA00,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),,,
ISRMA0,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,ISRMAn
ISSMA0,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,ISSMAn
RXEA0,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,RXEAn
TXEA0,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,TXEAn
UARTAEN0,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,UARTAENn
ASIMA01,"17.2.5 Operation mode setting register 1 (ASIMAn1) (n = 0, 1)",Figure17-6FormatofOperationModeSettingRegister1(ASIMAn1),,,
BRGCA0,"17.2.6 Baud rate generator control register (BRGCAn) (n = 0, 1)",Figure17-7FormatofBaudRateGeneratorControlRegister(BRGCAn),,,
ASISA0,"17.2.7 Status register (ASISAn) (n = 0, 1)",Figure17-8FormatofStatusRegister(ASISAn)(1/2),,,
ASCTA0,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),,,
OVECTA0,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,OVECTAn
FECTA0,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,FECTAn
PECTA0,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,PECTAn
TXBA1,"17.2.2 Transmit buffer register (TXBAn) (n = 0, 1)",Figure17-3FormatofTransmitBufferRegister(TXBAn),,,
RXBA1,"17.2.3 Receive buffer register (RXBAn) (n = 0, 1)",Figure17-4FormatofReceiveBufferRegister(RXBAn),,,
ASIMA10,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),,,
ISRMA1,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,ISRMAn
ISSMA1,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,ISSMAn
RXEA1,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,RXEAn
TXEA1,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,TXEAn
UARTAEN1,"17.2.4 Operation mode setting register 0 (ASIMAn0) (n = 0, 1)",Figure17-5FormatofOperationModeSettingRegister0(ASIMAn0),2,,UARTAENn
ASIMA11,"17.2.5 Operation mode setting register 1 (ASIMAn1) (n = 0, 1)",Figure17-6FormatofOperationModeSettingRegister1(ASIMAn1),,,
BRGCA1,"17.2.6 Baud rate generator control register (BRGCAn) (n = 0, 1)",Figure17-7FormatofBaudRateGeneratorControlRegister(BRGCAn),,,
ASISA1,"17.2.7 Status register (ASISAn) (n = 0, 1)",Figure17-8FormatofStatusRegister(ASISAn)(1/2),,,
ASCTA1,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),,,
OVECTA1,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,OVECTAn
FECTA1,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,FECTAn
PECTA1,"17.2.8 Status clear trigger register (ASCTAn) (n = 0, 1)",Figure17-9FormatofStatusClearTriggerRegister(ASCTAn),2,,PECTAn
UTA0CK,17.2.9 UARTA clock select register 0 (UTA0CK),Figure17-10FormatofUARTA0ClockSelectRegister(UTA0CK),,,
UTA1CK,17.2.10 UARTA clock select register 1 (UTA1CK),Figure17-11FormatofUARTA1ClockSelectRegister(UTA1CK),,,
DACS0,"13.3.4 D/A conversion value setting register i (DACSi) (i = 0, 1)","Figure13-5FormatofD/AConversionValueSettingRegisteri(DACSi)(i=0,1)",,,
DACS1,"13.3.4 D/A conversion value setting register i (DACSi) (i = 0, 1)","Figure13-5FormatofD/AConversionValueSettingRegisteri(DACSi)(i=0,1)",,,
DAM,13.3.3 D/A converter mode register (DAM),Figure13-4FormatofD/AConverterModeRegister(DAM),,,
DACE0,13.3.3 D/A converter mode register (DAM),Figure13-4FormatofD/AConverterModeRegister(DAM),1,,DACEi
DACE1,13.3.3 D/A converter mode register (DAM),Figure13-4FormatofD/AConverterModeRegister(DAM),1,,DACEi
COMPMDR,14.3.3 Comparator mode setting register (COMPMDR),Figure14-4FormatofComparatorModeSettingRegister(COMPMDR),,,
C0ENB,14.3.3 Comparator mode setting register (COMPMDR),Figure14-4FormatofComparatorModeSettingRegister(COMPMDR),2,,
C1ENB,14.3.3 Comparator mode setting register (COMPMDR),Figure14-4FormatofComparatorModeSettingRegister(COMPMDR),2,,
COMPFIR,14.3.4 Comparator filter control register (COMPFIR),Figure14-5FormatofComparatorFilterControlRegister(COMPFIR),,,
COMPOCR,14.3.5 Comparator output control register (COMPOCR),Figure14-6FormatofComparatorOutputControlRegister(COMPOCR),,,
C0IE,14.3.5 Comparator output control register (COMPOCR),Figure14-6FormatofComparatorOutputControlRegister(COMPOCR),2,,
C0OE,14.3.5 Comparator output control register (COMPOCR),Figure14-6FormatofComparatorOutputControlRegister(COMPOCR),2,,
C1IE,14.3.5 Comparator output control register (COMPOCR),Figure14-6FormatofComparatorOutputControlRegister(COMPOCR),2,,
C1OE,14.3.5 Comparator output control register (COMPOCR),Figure14-6FormatofComparatorOutputControlRegister(COMPOCR),2,,
ITLCMP00,"9.2.4 Interval timer compare registers 0n (ITLCMP0n) (n = 0, 1)",Figure9-5FormatofIntervalTimerCompareRegisters0n(ITLCMP0n),,,
ITLCMP000,"9.2.3 Interval timer compare registers 0mn (ITLCMP0mn) (mn = 00, 01, 12, 13)",Figure9-4FormatofIntervalTimerCompareRegisters0mn(ITLCMP0mn),,,
ITLCMP001,"9.2.3 Interval timer compare registers 0mn (ITLCMP0mn) (mn = 00, 01, 12, 13)",Figure9-4FormatofIntervalTimerCompareRegisters0mn(ITLCMP0mn),,,
ITLCMP01,"9.2.4 Interval timer compare registers 0n (ITLCMP0n) (n = 0, 1)",Figure9-5FormatofIntervalTimerCompareRegisters0n(ITLCMP0n),,,
ITLCMP012,"9.2.3 Interval timer compare registers 0mn (ITLCMP0mn) (mn = 00, 01, 12, 13)",Figure9-4FormatofIntervalTimerCompareRegisters0mn(ITLCMP0mn),,,
ITLCMP013,"9.2.3 Interval timer compare registers 0mn (ITLCMP0mn) (mn = 00, 01, 12, 13)",Figure9-4FormatofIntervalTimerCompareRegisters0mn(ITLCMP0mn),,,
ITLCAP00,9.2.5 Interval timer capture register 00 (ITLCAP00),Figure9-6FormatofIntervalTimerCaptureRegister00(ITLCAP00),,,
ITLCTL0,9.2.6 Interval timer control register (ITLCTL0),Figure9-7FormatofIntervalTimerControlRegister(ITLCTL0)(1/2),,,
ITLEN00,9.2.6 Interval timer control register (ITLCTL0),Figure9-7FormatofIntervalTimerControlRegister(ITLCTL0)(2/2),1,,
ITLEN01,9.2.6 Interval timer control register (ITLCTL0),Figure9-7FormatofIntervalTimerControlRegister(ITLCTL0)(1/2),2,,
ITLEN02,9.2.6 Interval timer control register (ITLCTL0),Figure9-7FormatofIntervalTimerControlRegister(ITLCTL0)(1/2),2,,
ITLEN03,9.2.6 Interval timer control register (ITLCTL0),Figure9-7FormatofIntervalTimerControlRegister(ITLCTL0)(1/2),2,,
ITLCSEL0,9.2.7 Interval timer clock select register 0 (ITLCSEL0),Figure9-8FormatofIntervalTimerClockSelectRegister0(ITLCSEL0),,,
ITLFDIV00,9.2.8 Interval timer frequency division register 0 (ITLFDIV00),Figure9-9FormatofIntervalTimerFrequencyDivisionRegister0(ITLFDIV00),,,
ITLFDIV01,9.2.9 Interval timer frequency division register 1 (ITLFDIV01),Figure9-10FormatofIntervalTimerFrequencyDivisionRegister1(ITLFDIV01),,,
ITLCC0,9.2.10 Interval timer capture control register 0 (ITLCC0),Figure9-11FormatofIntervalTimerCaptureControlRegister0(ITLCC0),,,
CAPR0,9.2.10 Interval timer capture control register 0 (ITLCC0),Figure9-11FormatofIntervalTimerCaptureControlRegister0(ITLCC0),2,,
CAPF0CR,9.2.10 Interval timer capture control register 0 (ITLCC0),Figure9-11FormatofIntervalTimerCaptureControlRegister0(ITLCC0),2,,
ITLS0,9.2.11 Interval timer status register (ITLS0),Figure9-12FormatofIntervalTimerStatusRegister(ITLS0),,,
ITLMKF0,9.2.12 Interval timer match detection mask register (ITLMKF0),Figure9-13FormatofIntervalTimerMatchDetectionMaskRegister(ITLMKF0),,,
SMSI0,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI1,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI2,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI3,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI4,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI5,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI6,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI7,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI8,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI9,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI10,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI11,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI12,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI13,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI14,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI15,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI16,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI17,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI18,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI19,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI20,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI21,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI22,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI23,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI24,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI25,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI26,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI27,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI28,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI29,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI30,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSI31,29.3.3 Sequencer instruction registers p (SMSIp) (p = 0 to 31),Figure29-4FormatofSequencerInstructionRegistersp(SMSIp),,,
SMSG0,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG1,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG2,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG3,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG4,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG5,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG6,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG7,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG8,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG9,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG10,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG11,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG12,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG13,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG14,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSG15,29.3.4 Sequencer general-purpose registers n (SMSGn) (n = 0 to 15),Figure29-5FormatofSequencerGeneral-PurposeRegistersn(SMSGn),,,
SMSC,29.3.5 Sequencer control register (SMSC),Figure29-6FormatofSequencerControlRegister(SMSC)(1/2),,,
LONGWAIT,29.3.5 Sequencer control register (SMSC),Figure29-6FormatofSequencerControlRegister(SMSC)(1/2),2,,
SMSTRGWAIT,29.3.5 Sequencer control register (SMSC),Figure29-6FormatofSequencerControlRegister(SMSC)(1/2),6,,SMSTRG
SMSSTOP,29.3.5 Sequencer control register (SMSC),Figure29-6FormatofSequencerControlRegister(SMSC)(1/2),3,,
SMSSTART,29.3.5 Sequencer control register (SMSC),Figure29-6FormatofSequencerControlRegister(SMSC)(1/2),2,,
SMSS,29.3.6 Sequencer status register (SMSS),Figure29-7FormatofSequencerStatusRegister(SMSS),,,
SMSSTAT,29.3.6 Sequencer status register (SMSS),Figure29-7FormatofSequencerStatusRegister(SMSS),2,,
FLSIVC0,"33.6.2.18 Interrupt vector change registers 0 and 1 (FLSIVC0, FLSIVC1)","Figure33-26FormatofInterruptVectorChangeRegisters0and1(FLSIVC0,FLSIVC1)",,,
FLSIVC1,"33.6.2.18 Interrupt vector change registers 0 and 1 (FLSIVC0, FLSIVC1)","Figure33-26FormatofInterruptVectorChangeRegisters0and1(FLSIVC0,FLSIVC1)",,,
GFLASH0,27.3.3 Flash memory guard function,Figure27-7FormatofCodeFlashMemoryGuardRegister(GFLASH0),,,
GFLASH1,27.3.3 Flash memory guard function,Figure27-8FormatofDataFlashMemoryGuardRegister(GFLASH1),,,
GFLASH2,27.3.3 Flash memory guard function,Figure27-9FormatofFlashSecurityAreaGuardRegister(GFLASH2),,,
GIAWCTL,27.3.8 Guard function of invalid memory access detection control register,Figure27-16FormatofGuardRegisterofIAWCTLRegister(GIAWCTL),,,
CTSUCRAL,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCR0,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCR1,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCRAH,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCR2,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCR3,"30.2.3 CTSU control registers AL and AH (CTSUCRAL, CTSUCRAH)","Figure30-7FormatofCTSUControlRegistersALandAH(CTSUCRAL,CTSUCRAH)(1/7)",,,
CTSUCRBL,"30.2.4 CTSU control registers BL and BH (CTSUCRBL, CTSUCRBH)","Figure30-8FormatofCTSUControlRegistersBLandBH(CTSUCRBL,CTSUCRBH)(1/3)",,,
CTSUSDPRS,"30.2.4 CTSU control registers BL and BH (CTSUCRBL, CTSUCRBH)","Figure30-8FormatofCTSUControlRegistersBLandBH(CTSUCRBL,CTSUCRBH)(1/3)",,,
CTSUSST,"30.2.4 CTSU control registers BL and BH (CTSUCRBL, CTSUCRBH)","Figure30-8FormatofCTSUControlRegistersBLandBH(CTSUCRBL,CTSUCRBH)(1/3)",,,
CTSUCRBH,"30.2.4 CTSU control registers BL and BH (CTSUCRBL, CTSUCRBH)","Figure30-8FormatofCTSUControlRegistersBLandBH(CTSUCRBL,CTSUCRBH)(1/3)",,,
CTSUDCLKC,"30.2.4 CTSU control registers BL and BH (CTSUCRBL, CTSUCRBH)","Figure30-8FormatofCTSUControlRegistersBLandBH(CTSUCRBL,CTSUCRBH)(1/3)",,,
CTSUMCHL,"30.2.5 CTSU measurement channel registers L and H (CTSUMCHL, CTSUMCHH)","Figure30-9FormatofCTSUMeasurementChannelRegistersLandH(CTSUMCHL,CTSUMCHH)(1/2)",,,
CTSUMCH0,"30.2.5 CTSU measurement channel registers L and H (CTSUMCHL, CTSUMCHH)","Figure30-9FormatofCTSUMeasurementChannelRegistersLandH(CTSUMCHL,CTSUMCHH)(1/2)",,,
CTSUMCH1,"30.2.5 CTSU measurement channel registers L and H (CTSUMCHL, CTSUMCHH)","Figure30-9FormatofCTSUMeasurementChannelRegistersLandH(CTSUMCHL,CTSUMCHH)(1/2)",,,
CTSUMCHH,"30.2.5 CTSU measurement channel registers L and H (CTSUMCHL, CTSUMCHH)","Figure30-9FormatofCTSUMeasurementChannelRegistersLandH(CTSUMCHL,CTSUMCHH)(1/2)",,,
CTSUMFAF,"30.2.5 CTSU measurement channel registers L and H (CTSUMCHL, CTSUMCHH)","Figure30-9FormatofCTSUMeasurementChannelRegistersLandH(CTSUMCHL,CTSUMCHH)(1/2)",,,
CTSUCHACAL,"30.2.6 CTSU channel enable control registers AL, AH, BL, and BH (CTSUCHACAL, CTSUCHACAH, CTSUCHACBL, CTSUCHACBH)","Figure30-10FormatofCTSUChannelEnableControlRegistersAL,AH,BL,andBH(CTSUCHACAL,CTSUCHACAH,CTSUCHACBL,CTSUCHACBH)(1/2)",,,
CTSUCHAC0,"30.2.6 CTSU channel enable control registers AL, AH, BL, and BH (CTSUCHACAL, CTSUCHACAH, CTSUCHACBL, CTSUCHACBH)","Figure30-10FormatofCTSUChannelEnableControlRegistersAL,AH,BL,andBH(CTSUCHACAL,CTSUCHACAH,CTSUCHACBL,CTSUCHACBH)(1/2)",,,
CTSUCHAC1,"30.2.6 CTSU channel enable control registers AL, AH, BL, and BH (CTSUCHACAL, CTSUCHACAH, CTSUCHACBL, CTSUCHACBH)","Figure30-10FormatofCTSUChannelEnableControlRegistersAL,AH,BL,andBH(CTSUCHACAL,CTSUCHACAH,CTSUCHACBL,CTSUCHACBH)(1/2)",,,
CTSUCHACAH,"30.2.6 CTSU channel enable control registers AL, AH, BL, and BH (CTSUCHACAL, CTSUCHACAH, CTSUCHACBL, CTSUCHACBH)","Figure30-10FormatofCTSUChannelEnableControlRegistersAL,AH,BL,andBH(CTSUCHACAL,CTSUCHACAH,CTSUCHACBL,CTSUCHACBH)(1/2)",,,
